timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.003, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.006, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.008, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.011, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.016, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.02, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.024, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.028, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.032, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.036, -1, 22.0083, 52.6431, -3.5641, 80.5273, -71.7225, 40.1913
0.04, -1, 22.0086, 52.643, -3.56409, 80.5273, -71.7225, 40.1913
0.044, -1, 22.0092, 52.6428, -3.56406, 80.5273, -71.7225, 40.1913
0.048, -1, 22.0103, 52.6425, -3.56401, 80.5274, -71.7224, 40.1913
0.052, -1, 22.012, 52.642, -3.56396, 80.5275, -71.7223, 40.1913
0.056, -1, 22.0145, 52.6411, -3.56392, 80.5277, -71.722, 40.1914
0.06, -1, 22.0177, 52.6399, -3.56394, 80.5281, -71.7215, 40.1915
0.064, -1, 22.0217, 52.6383, -3.56408, 80.5288, -71.7206, 40.1916
0.068, -1, 22.0265, 52.6362, -3.56441, 80.53, -71.7193, 40.1919
0.072, -1, 22.0322, 52.6334, -3.56504, 80.5317, -71.7172, 40.1923
0.076, -1, 22.0391, 52.6299, -3.56609, 80.5342, -71.7141, 40.1928
0.08, -1, 22.0472, 52.6256, -3.56769, 80.5377, -71.7099, 40.1936
0.084, -1, 22.0567, 52.6206, -3.57002, 80.5425, -71.7042, 40.1947
0.088, -1, 22.0678, 52.615, -3.57327, 80.5488, -71.6966, 40.1962
0.092, -1, 22.0803, 52.6089, -3.57766, 80.557, -71.6868, 40.198
0.096, -1, 22.094, 52.6026, -3.58342, 80.5673, -71.6745, 40.2003
0.1, -1, 22.109, 52.5963, -3.59077, 80.58, -71.6593, 40.2032
0.104, -1, 22.125, 52.5899, -3.59987, 80.5953, -71.641, 40.2067
0.108, -1, 22.1421, 52.5836, -3.61085, 80.6134, -71.6193, 40.2108
0.112, -1, 22.1603, 52.5773, -3.62379, 80.6345, -71.5942, 40.2156
0.116, -1, 22.1797, 52.5709, -3.63871, 80.6584, -71.5656, 40.221
0.12, -1, 22.2004, 52.5646, -3.65561, 80.6854, -71.5335, 40.2272
0.124, -1, 22.2224, 52.5582, -3.67441, 80.7152, -71.4979, 40.2339
0.128, -1, 22.2457, 52.5518, -3.69504, 80.7477, -71.4591, 40.2413
0.131, -1, 22.2701, 52.5455, -3.71736, 80.7828, -71.4173, 40.2493
0.136, -1, 22.2957, 52.539, -3.74121, 80.8202, -71.3726, 40.2578
0.139, -1, 22.3225, 52.5323, -3.76639, 80.8597, -71.3256, 40.2668
0.144, -1, 22.3507, 52.5251, -3.79268, 80.901, -71.2764, 40.2761
0.148, -1, 22.3804, 52.5172, -3.81986, 80.9437, -71.2254, 40.2858
0.152, -1, 22.4114, 52.5086, -3.84775, 80.9877, -71.1729, 40.2958
0.156, -1, 22.4437, 52.4992, -3.87617, 81.0327, -71.1193, 40.306
0.16, -1, 22.4771, 52.4892, -3.90498, 81.0784, -71.0648, 40.3164
